MSA,year,income_pc
"Lakeland-Winter Haven, FL",2019,37183
"Lancaster, PA",2019,54529
"Lansing-East Lansing, MI",2019,42535
"Laredo, TX",2019,33305
"Las Cruces, NM",2019,37413
"Las Vegas-Henderson-Paradise, NV",2019,49225
"Lawrence, KS",2019,45174
"Lawton, OK",2019,42700
"Lebanon, PA",2019,49099
"Lewiston, ID-WA",2019,46255
"Lewiston-Auburn, ME",2019,42698
"Lexington-Fayette, KY",2019,49814
"Lima, OH",2019,43268
"Lincoln, NE",2019,50565
"Little Rock-North Little Rock-Conway, AR",2019,47032
"Logan, UT-ID",2019,41538
"Longview, TX",2019,43575
"Longview, WA",2019,45124
"Los Angeles-Long Beach-Anaheim, CA",2019,64705
"Louisville/Jefferson County, KY-IN",2019,52288
"Lubbock, TX",2019,44706
"Lynchburg, VA",2019,40521
"Macon-Bibb County, GA",2019,41402
"Madera, CA",2019,38751
"Madison, WI",2019,61743
"Manchester-Nashua, NH",2019,62752
"Manhattan, KS",2019,47291
"Mankato, MN",2019,46951
"Mansfield, OH",2019,40313
"McAllen-Edinburg-Mission, TX",2019,28091
"Medford, OR",2019,47708
"Memphis, TN-MS-AR",2019,47904
"Merced, CA",2019,37952
"Miami-Fort Lauderdale-Pompano Beach, FL",2019,61362
"Michigan City-La Porte, IN",2019,43065
"Midland, MI",2019,54477
"Midland, TX",2019,135900
"Milwaukee-Waukesha, WI",2019,57860
"Minneapolis-St. Paul-Bloomington, MN-WI",2019,64270
"Missoula, MT",2019,51738
"Mobile, AL",2019,39910
"Modesto, CA",2019,43402
"Monroe, LA",2019,41691
"Monroe, MI",2019,48696
"Montgomery, AL",2019,44473
"Morgantown, WV",2019,44753
"Morristown, TN",2019,37563
"Mount Vernon-Anacortes, WA",2019,53221
"Muncie, IN",2019,38153
"Muskegon, MI",2019,39769
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",2019,41213
"Napa, CA",2019,73886
"Naples-Marco Island, FL",2019,103205
"Nashville-Davidson--Murfreesboro--Franklin, TN",2019,61516
"New Bern, NC",2019,44765
"New Haven-Milford, CT",2019,56710
"New Orleans-Metairie, LA",2019,54660
"New York-Newark-Jersey City, NY-NJ-PA",2019,77911
"Niles, MI",2019,48231
"North Port-Sarasota-Bradenton, FL",2019,59917
"Norwich-New London, CT",2019,58122
"Ocala, FL",2019,38754
"Ocean City, NJ",2019,63203
"Odessa, TX",2019,52079
"Ogden-Clearfield, UT",2019,46201
"Oklahoma City, OK",2019,51408
"Olympia-Lacey-Tumwater, WA",2019,52010
"Omaha-Council Bluffs, NE-IA",2019,58368
"Orlando-Kissimmee-Sanford, FL",2019,45718
"Oshkosh-Neenah, WI",2019,48943
"Owensboro, KY",2019,42380
"Oxnard-Thousand Oaks-Ventura, CA",2019,63190
"Palm Bay-Melbourne-Titusville, FL",2019,48539
"Panama City, FL",2019,46818
"Parkersburg-Vienna, WV",2019,45758
"Pensacola-Ferry Pass-Brent, FL",2019,45259
"Peoria, IL",2019,48746
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2019,65733
"Phoenix-Mesa-Chandler, AZ",2019,48082
"Pine Bluff, AR",2019,35151
"Pittsburgh, PA",2019,59494
"Pittsfield, MA",2019,57300
"Pocatello, ID",2019,38901
"Portland-South Portland, ME",2019,59724
"Portland-Vancouver-Hillsboro, OR-WA",2019,58941
"Port St. Lucie, FL",2019,56602
"Poughkeepsie-Newburgh-Middletown, NY",2019,55508
"Prescott Valley-Prescott, AZ",2019,41076
"Providence-Warwick, RI-MA",2019,56197
"Provo-Orem, UT",2019,43520
"Pueblo, CO",2019,39533
"Punta Gorda, FL",2019,43549
"Racine, WI",2019,50729
"Raleigh-Cary, NC",2019,58147
"Rapid City, SD",2019,52133
"Reading, PA",2019,51606
"Redding, CA",2019,46417
"Reno, NV",2019,62954
"Richmond, VA",2019,58111
"Riverside-San Bernardino-Ontario, CA",2019,40988
"Roanoke, VA",2019,46891
"Rochester, MN",2019,55770
"Rochester, NY",2019,52480
"Rockford, IL",2019,44621
"Rocky Mount, NC",2019,40816
"Rome, GA",2019,38630
"Sacramento-Roseville-Folsom, CA",2019,57014
"Saginaw, MI",2019,41659
"St. Cloud, MN",2019,47119
"St. George, UT",2019,41869
"St. Joseph, MO-KS",2019,40709
"St. Louis, MO-IL",2019,57615
"Salem, OR",2019,44118
"Salinas, CA",2019,56545
"Salisbury, MD-DE",2019,49074
"Salt Lake City, UT",2019,54456
"San Angelo, TX",2019,51990
"San Antonio-New Braunfels, TX",2019,48025
"San Diego-Chula Vista-Carlsbad, CA",2019,60845
"San Francisco-Oakland-Berkeley, CA",2019,102406
"San Jose-Sunnyvale-Santa Clara, CA",2019,112693
"San Luis Obispo-Paso Robles, CA",2019,58693
"Santa Cruz-Watsonville, CA",2019,68990
"Santa Fe, NM",2019,60301
"Santa Maria-Santa Barbara, CA",2019,62715
"Santa Rosa-Petaluma, CA",2019,64869
"Savannah, GA",2019,47964
"Scranton--Wilkes-Barre, PA",2019,46925
"Seattle-Tacoma-Bellevue, WA",2019,75970
"Sebastian-Vero Beach, FL",2019,83241
"Sebring-Avon Park, FL",2019,34433
"Sheboygan, WI",2019,53217
"Sherman-Denison, TX",2019,44585
"Shreveport-Bossier City, LA",2019,48256
"Sierra Vista-Douglas, AZ",2019,40546
"Sioux City, IA-NE-SD",2019,52855
"Sioux Falls, SD",2019,64219
"South Bend-Mishawaka, IN-MI",2019,47759
"Spartanburg, SC",2019,44151
"Spokane-Spokane Valley, WA",2019,46337
"Springfield, IL",2019,49212
"Springfield, MA",2019,53413
"Springfield, MO",2019,42993
"Springfield, OH",2019,41625
"State College, PA",2019,47947
"Staunton, VA",2019,44917
"Stockton, CA",2019,45075
"Sumter, SC",2019,38573
"Syracuse, NY",2019,51181
"Tallahassee, FL",2019,44003
"Tampa-St. Petersburg-Clearwater, FL",2019,49186
"Terre Haute, IN",2019,38502
"Texarkana, TX-AR",2019,38802
"The Villages, FL",2019,53411
"Toledo, OH",2019,48252
"Topeka, KS",2019,47253
"Trenton-Princeton, NJ",2019,70675
"Tucson, AZ",2019,44649
"Tulsa, OK",2019,56680
"Tuscaloosa, AL",2019,39482
"Twin Falls, ID",2019,40414
"Tyler, TX",2019,55986
"Urban Honolulu, HI",2019,59329
"Utica-Rome, NY",2019,45855
"Valdosta, GA",2019,37045
"Vallejo, CA",2019,51889
"Victoria, TX",2019,52268
"Vineland-Bridgeton, NJ",2019,41327
"Virginia Beach-Norfolk-Newport News, VA-NC",2019,49792
"Visalia, CA",2019,40040
"Waco, TX",2019,42274
"Walla Walla, WA",2019,46648
"Warner Robins, GA",2019,43109
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2019,73059
"Waterloo-Cedar Falls, IA",2019,46971
"Watertown-Fort Drum, NY",2019,48896
"Wausau-Weston, WI",2019,51329
"Weirton-Steubenville, WV-OH",2019,42338
"Wenatchee, WA",2019,50227
"Wheeling, WV-OH",2019,47341
"Wichita, KS",2019,52706
"Wichita Falls, TX",2019,44754
"Williamsport, PA",2019,44688
"Wilmington, NC",2019,46620
"Winchester, VA-WV",2019,49538
"Winston-Salem, NC",2019,45600
"Worcester, MA-CT",2019,56846
"Yakima, WA",2019,43910
"York-Hanover, PA",2019,52015
"Youngstown-Warren-Boardman, OH-PA",2019,43047
"Yuba City, CA",2019,43411
"Yuma, AZ",2019,35065
"Abilene, TX",2020,49948
"Akron, OH",2020,54843
"Albany, GA",2020,42744
"Albany-Lebanon, OR",2020,48040
"Albany-Schenectady-Troy, NY",2020,65112
"Albuquerque, NM",2020,47442
"Alexandria, LA",2020,47961
"Allentown-Bethlehem-Easton, PA-NJ",2020,59193
"Altoona, PA",2020,52096
"Amarillo, TX",2020,51116
"Ames, IA",2020,47233
"Anchorage, AK",2020,64904
"Ann Arbor, MI",2020,63655
"Anniston-Oxford, AL",2020,40195
"Appleton, WI",2020,54988
"Asheville, NC",2020,49809
"Athens-Clarke County, GA",2020,44364
"Atlanta-Sandy Springs-Alpharetta, GA",2020,58773
"Atlantic City-Hammonton, NJ",2020,55802
"Auburn-Opelika, AL",2020,42468
"Augusta-Richmond County, GA-SC",2020,46594
"Austin-Round Rock-Georgetown, TX",2020,64913
"Bakersfield, CA",2020,44721
"Baltimore-Columbia-Towson, MD",2020,66695
"Bangor, ME",2020,47315
"Barnstable Town, MA",2020,80420
"Baton Rouge, LA",2020,52978
"Battle Creek, MI",2020,44729
"Bay City, MI",2020,47786
"Beaumont-Port Arthur, TX",2020,47281
"Beckley, WV",2020,42914
"Bellingham, WA",2020,52787
"Bend, OR",2020,61216
"Billings, MT",2020,56649
"Binghamton, NY",2020,49652
"Birmingham-Hoover, AL",2020,55074
"Bismarck, ND",2020,61404
"Blacksburg-Christiansburg, VA",2020,40692
"Bloomington, IL",2020,54639
"Bloomington, IN",2020,46502
"Bloomsburg-Berwick, PA",2020,50771
"Boise City, ID",2020,50474
"Boston-Cambridge-Newton, MA-NH",2020,85724
"Boulder, CO",2020,79649
"Bowling Green, KY",2020,39734
"Bremerton-Silverdale-Port Orchard, WA",2020,60704
"Bridgeport-Stamford-Norwalk, CT",2020,120244
"Brownsville-Harlingen, TX",2020,33690
"Brunswick, GA",2020,45251
"Buffalo-Cheektowaga, NY",2020,55777
"Burlington, NC",2020,43973
"Burlington-South Burlington, VT",2020,61802
"California-Lexington Park, MD",2020,61144
"Canton-Massillon, OH",2020,49255
"Cape Coral-Fort Myers, FL",2020,54707
"Cape Girardeau, MO-IL",2020,45802
"Carbondale-Marion, IL",2020,44335
"Carson City, NV",2020,56510
"Casper, WY",2020,68447
"Cedar Rapids, IA",2020,55971
"Chambersburg-Waynesboro, PA",2020,51979
"Champaign-Urbana, IL",2020,49967
"Charleston, WV",2020,48623
"Charleston-North Charleston, SC",2020,55321
"Charlotte-Concord-Gastonia, NC-SC",2020,56682
"Charlottesville, VA",2020,69853
"Chattanooga, TN-GA",2020,49865
"Cheyenne, WY",2020,55094
"Chicago-Naperville-Elgin, IL-IN-WI",2020,67671
"Chico, CA",2020,50279
"Cincinnati, OH-KY-IN",2020,59607
"Clarksville, TN-KY",2020,44908
"Cleveland, TN",2020,41756
"Cleveland-Elyria, OH",2020,58846
"Coeur d'Alene, ID",2020,48953
"College Station-Bryan, TX",2020,44037
"Colorado Springs, CO",2020,54166
"Columbia, MO",2020,50421
"Columbia, SC",2020,48971
"Columbus, GA-AL",2020,44760
"Columbus, IN",2020,55804
"Columbus, OH",2020,56252
"Corpus Christi, TX",2020,48060
"Corvallis, OR",2020,50399
"Crestview-Fort Walton Beach-Destin, FL",2020,58663
"Cumberland, MD-WV",2020,44308
"Dallas-Fort Worth-Arlington, TX",2020,61554
"Dalton, GA",2020,40781
"Danville, IL",2020,44533
"Daphne-Fairhope-Foley, AL",2020,50953
"Davenport-Moline-Rock Island, IA-IL",2020,53620
"Dayton-Kettering, OH",2020,52367
"Decatur, AL",2020,43264
"Decatur, IL",2020,52196
"Deltona-Daytona Beach-Ormond Beach, FL",2020,47194
"Denver-Aurora-Lakewood, CO",2020,69822
"Des Moines-West Des Moines, IA",2020,58076
"Detroit-Warren-Dearborn, MI",2020,58356
"Dothan, AL",2020,45349
"Dover, DE",2020,46600
"Dubuque, IA",2020,54751
"Duluth, MN-WI",2020,49785
"Durham-Chapel Hill, NC",2020,56703
"East Stroudsburg, PA",2020,48409
"Eau Claire, WI",2020,51569
"El Centro, CA",2020,44500
"Elizabethtown-Fort Knox, KY",2020,46770
"Elkhart-Goshen, IN",2020,49875
"Elmira, NY",2020,49439
"El Paso, TX",2020,41732
"Enid, OK",2020,46702
"Erie, PA",2020,50536
"Eugene-Springfield, OR",2020,49583
"Evansville, IN-KY",2020,51695
"Fairbanks, AK",2020,62254
"Fargo, ND-MN",2020,58158
"Farmington, NM",2020,38370
"Fayetteville, NC",2020,40972
"Fayetteville-Springdale-Rogers, AR",2020,70085
"Flagstaff, AZ",2020,53036
"Flint, MI",2020,46152
"Florence, SC",2020,45178
"Florence-Muscle Shoals, AL",2020,41181
"Fond du Lac, WI",2020,52813
"Fort Collins, CO",2020,58725
"Fort Smith, AR-OK",2020,40801
"Fort Wayne, IN",2020,50238
"Fresno, CA",2020,48495
"Gadsden, AL",2020,39852
"Gainesville, FL",2020,47729
"Gainesville, GA",2020,48759
"Gettysburg, PA",2020,54172
"Glens Falls, NY",2020,53074
"Goldsboro, NC",2020,42882
"Grand Forks, ND-MN",2020,57102
"Grand Island, NE",2020,48375
"Grand Junction, CO",2020,48435
"Grand Rapids-Kentwood, MI",2020,54037
"Grants Pass, OR",2020,46913
"Great Falls, MT",2020,52226
"Greeley, CO",2020,52054
"Green Bay, WI",2020,55159
"Greensboro-High Point, NC",2020,47171
"Greenville, NC",2020,45169
"Greenville-Anderson, SC",2020,47836
"Gulfport-Biloxi, MS",2020,41111
"Hagerstown-Martinsburg, MD-WV",2020,47759
"Hammond, LA",2020,41792
"Hanford-Corcoran, CA",2020,41829
"Harrisburg-Carlisle, PA",2020,58372
"Harrisonburg, VA",2020,43232
"Hartford-East Hartford-Middletown, CT",2020,67343
"Hattiesburg, MS",2020,41779
"Hickory-Lenoir-Morganton, NC",2020,43496
"Hilton Head Island-Bluffton, SC",2020,57565
"Hinesville, GA",2020,37578
"Homosassa Springs, FL",2020,41933
"Hot Springs, AR",2020,44358
"Houma-Thibodaux, LA",2020,47259
"Houston-The Woodlands-Sugar Land, TX",2020,59893
"Huntington-Ashland, WV-KY-OH",2020,44423
"Huntsville, AL",2020,55126
"Idaho Falls, ID",2020,51729
"Indianapolis-Carmel-Anderson, IN",2020,60431
"Iowa City, IA",2020,56947
"Ithaca, NY",2020,49486
"Jackson, MI",2020,44889
"Jackson, MS",2020,47992
"Jackson, TN",2020,44123
"Jacksonville, FL",2020,55125
"Jacksonville, NC",2020,43122
"Janesville-Beloit, WI",2020,48836
"Jefferson City, MO",2020,47827
"Johnson City, TN",2020,44020
"Johnstown, PA",2020,48637
"Jonesboro, AR",2020,40140
"Joplin, MO",2020,42255
"Kahului-Wailuku-Lahaina, HI",2020,51838
"Kalamazoo-Portage, MI",2020,52403
"Kankakee, IL",2020,46988
"Kansas City, MO-KS",2020,58057
"Kennewick-Richland, WA",2020,49042
"Killeen-Temple, TX",2020,45574
"Kingsport-Bristol, TN-VA",2020,42869
"Kingston, NY",2020,56071
"Knoxville, TN",2020,50540
"Kokomo, IN",2020,44945
"La Crosse-Onalaska, WI-MN",2020,54656
"Lafayette, LA",2020,47553
"Lafayette-West Lafayette, IN",2020,42467
"Lake Charles, LA",2020,50935
"Lake Havasu City-Kingman, AZ",2020,36529
"Lakeland-Winter Haven, FL",2020,39760
"Lancaster, PA",2020,58434
"Lansing-East Lansing, MI",2020,46323
"Laredo, TX",2020,35626
"Las Cruces, NM",2020,40218
"Las Vegas-Henderson-Paradise, NV",2020,51244
"Lawrence, KS",2020,47494
"Lawton, OK",2020,45538
"Lebanon, PA",2020,52743
"Lewiston, ID-WA",2020,50092
"Lewiston-Auburn, ME",2020,46357
"Lexington-Fayette, KY",2020,52559
"Lima, OH",2020,46500
"Lincoln, NE",2020,53057
"Little Rock-North Little Rock-Conway, AR",2020,49837
"Logan, UT-ID",2020,44508
"Longview, TX",2020,45075
"Longview, WA",2020,48232
"Los Angeles-Long Beach-Anaheim, CA",2020,69805
"Louisville/Jefferson County, KY-IN",2020,55676
"Lubbock, TX",2020,46297
"Lynchburg, VA",2020,43529
"Macon-Bibb County, GA",2020,44520
"Madera, CA",2020,44532
"Madison, WI",2020,64280
"Manchester-Nashua, NH",2020,66548
"Manhattan, KS",2020,49865
"Mankato, MN",2020,50562
"Mansfield, OH",2020,43928
"McAllen-Edinburg-Mission, TX",2020,31153
"Medford, OR",2020,51824
"Memphis, TN-MS-AR",2020,51155
"Merced, CA",2020,43914
"Miami-Fort Lauderdale-Pompano Beach, FL",2020,64190
"Michigan City-La Porte, IN",2020,46274
"Midland, MI",2020,57561
"Midland, TX",2020,124667
"Milwaukee-Waukesha, WI",2020,60499
"Minneapolis-St. Paul-Bloomington, MN-WI",2020,67214
"Missoula, MT",2020,54353
"Mobile, AL",2020,42731
"Modesto, CA",2020,48954
"Monroe, LA",2020,45252
"Monroe, MI",2020,52028
"Montgomery, AL",2020,47446
"Morgantown, WV",2020,46841
"Morristown, TN",2020,40061
"Mount Vernon-Anacortes, WA",2020,57315
"Muncie, IN",2020,40948
"Muskegon, MI",2020,44000
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",2020,43477
"Napa, CA",2020,82408
"Naples-Marco Island, FL",2020,103865
"Nashville-Davidson--Murfreesboro--Franklin, TN",2020,62076
"New Bern, NC",2020,48121
"New Haven-Milford, CT",2020,60092
"New Orleans-Metairie, LA",2020,57891
"New York-Newark-Jersey City, NY-NJ-PA",2020,82322
"Niles, MI",2020,52395
"North Port-Sarasota-Bradenton, FL",2020,61988
"Norwich-New London, CT",2020,61191
"Ocala, FL",2020,41553
"Ocean City, NJ",2020,67836
"Odessa, TX",2020,49887
"Ogden-Clearfield, UT",2020,49371
"Oklahoma City, OK",2020,52688
"Olympia-Lacey-Tumwater, WA",2020,56007
"Omaha-Council Bluffs, NE-IA",2020,61040
"Orlando-Kissimmee-Sanford, FL",2020,48223
"Oshkosh-Neenah, WI",2020,50840
"Owensboro, KY",2020,45684
"Oxnard-Thousand Oaks-Ventura, CA",2020,67422
"Palm Bay-Melbourne-Titusville, FL",2020,51507
"Panama City, FL",2020,50696
"Parkersburg-Vienna, WV",2020,47706
"Pensacola-Ferry Pass-Brent, FL",2020,48154
"Peoria, IL",2020,52742
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2020,69705
"Phoenix-Mesa-Chandler, AZ",2020,51851
"Pine Bluff, AR",2020,37962
"Pittsburgh, PA",2020,63675
"Pittsfield, MA",2020,61872
"Pocatello, ID",2020,42186
"Portland-South Portland, ME",2020,63497
"Portland-Vancouver-Hillsboro, OR-WA",2020,62603
"Port St. Lucie, FL",2020,58649
"Poughkeepsie-Newburgh-Middletown, NY",2020,59690
"Prescott Valley-Prescott, AZ",2020,44490
"Providence-Warwick, RI-MA",2020,60897
"Provo-Orem, UT",2020,46393
"Pueblo, CO",2020,43196
"Punta Gorda, FL",2020,45606
"Racine, WI",2020,53094
"Raleigh-Cary, NC",2020,60884
"Rapid City, SD",2020,55187
"Reading, PA",2020,55953
"Redding, CA",2020,51649
"Reno, NV",2020,66075
"Richmond, VA",2020,61148
"Riverside-San Bernardino-Ontario, CA",2020,45365
"Roanoke, VA",2020,50215
"Rochester, MN",2020,59842
"Rochester, NY",2020,56477
"Rockford, IL",2020,47982
"Rocky Mount, NC",2020,43623
"Rome, GA",2020,41238
"Sacramento-Roseville-Folsom, CA",2020,61852
"Saginaw, MI",2020,45328
"St. Cloud, MN",2020,50850
"St. George, UT",2020,43782
"St. Joseph, MO-KS",2020,43061
"St. Louis, MO-IL",2020,60844
"Salem, OR",2020,47638
"Salinas, CA",2020,61510
"Salisbury, MD-DE",2020,51228
"Salt Lake City, UT",2020,58008
"San Angelo, TX",2020,53305
"San Antonio-New Braunfels, TX",2020,50022
"San Diego-Chula Vista-Carlsbad, CA",2020,66266
"San Francisco-Oakland-Berkeley, CA",2020,111050
"San Jose-Sunnyvale-Santa Clara, CA",2020,121619
"San Luis Obispo-Paso Robles, CA",2020,62342
"Santa Cruz-Watsonville, CA",2020,75957
"Santa Fe, NM",2020,63004
"Santa Maria-Santa Barbara, CA",2020,67879
"Santa Rosa-Petaluma, CA",2020,71386
"Savannah, GA",2020,51184
"Scranton--Wilkes-Barre, PA",2020,51246
"Seattle-Tacoma-Bellevue, WA",2020,80420
"Sebastian-Vero Beach, FL",2020,84607
"Sebring-Avon Park, FL",2020,37158
"Sheboygan, WI",2020,55616
"Sherman-Denison, TX",2020,47045
"Shreveport-Bossier City, LA",2020,52391
"Sierra Vista-Douglas, AZ",2020,45786
"Sioux City, IA-NE-SD",2020,56131
"Sioux Falls, SD",2020,67117
"South Bend-Mishawaka, IN-MI",2020,51017
"Spartanburg, SC",2020,46543
"Spokane-Spokane Valley, WA",2020,49449
"Springfield, IL",2020,52782
"Springfield, MA",2020,57843
"Springfield, MO",2020,44565
"Springfield, OH",2020,45363
"State College, PA",2020,50615
"Staunton, VA",2020,47794
"Stockton, CA",2020,51816
"Sumter, SC",2020,41807
"Syracuse, NY",2020,55563
"Tallahassee, FL",2020,46685
"Tampa-St. Petersburg-Clearwater, FL",2020,52291
"Terre Haute, IN",2020,41658
"Texarkana, TX-AR",2020,41516
"The Villages, FL",2020,54533
"Toledo, OH",2020,51408
"Topeka, KS",2020,50479
"Trenton-Princeton, NJ",2020,74218
"Tucson, AZ",2020,48373
"Tulsa, OK",2020,58071
"Tuscaloosa, AL",2020,42084
"Twin Falls, ID",2020,43725
"Tyler, TX",2020,57076
"Urban Honolulu, HI",2020,62793
"Utica-Rome, NY",2020,49581
"Valdosta, GA",2020,40046
"Vallejo, CA",2020,58688
"Victoria, TX",2020,53547
"Vineland-Bridgeton, NJ",2020,45498
"Virginia Beach-Norfolk-Newport News, VA-NC",2020,53310
"Visalia, CA",2020,46348
"Waco, TX",2020,45403
"Walla Walla, WA",2020,51767
"Warner Robins, GA",2020,45888
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020,76771
"Waterloo-Cedar Falls, IA",2020,50126
"Watertown-Fort Drum, NY",2020,53964
"Wausau-Weston, WI",2020,54305
"Weirton-Steubenville, WV-OH",2020,46007
"Wenatchee, WA",2020,55047
"Wheeling, WV-OH",2020,48947
"Wichita, KS",2020,55000
"Wichita Falls, TX",2020,46954
"Williamsport, PA",2020,48721
"Wilmington, NC",2020,48744
"Winchester, VA-WV",2020,52377
"Winston-Salem, NC",2020,48151
"Worcester, MA-CT",2020,61741
"Yakima, WA",2020,49099
"York-Hanover, PA",2020,55761
"Youngstown-Warren-Boardman, OH-PA",2020,46635
"Yuba City, CA",2020,48752
"Yuma, AZ",2020,40800
